
Score	0	played yejin	2016.06.03 , 16:52:29
Score	120	played yejin	2016.06.03 , 17:06:10
Score	-50	played yejin	2016.06.03 , 17:15:26
Score	102	played yejin	2016.06.04 , 16:16:38
Score	116	played ezini	2016.06.04 , 16:27:13
Score	-68	played yejin	2016.06.04 , 16:36:47
Score	113	played yejin2	2016.06.04 , 17:08:29
Score	200	played yejin	2016.06.04 , 19:53:13
